sport,game_id,game_date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,result,odds_home,odds_away,odds_draw,favourite
baseball,154322,2024-06-18T23:05:00+00:00,1,MLB,2024,25,New York Yankees,4,Baltimore Orioles,home,1.6984615384615385,2.1923076923076925,10000,home
baseball,154323,2024-06-18T23:07:00+00:00,1,MLB,2024,36,Toronto Blue Jays,5,Boston Red Sox,away,2.1415384615384614,1.736923076923077,10000,home
baseball,154324,2024-06-18T23:20:00+00:00,1,MLB,2024,3,Atlanta Braves,12,Detroit Tigers,home,1.6015384615384616,2.373846153846154,10000,home
baseball,154325,2024-06-18T23:40:00+00:00,1,MLB,2024,22,Minnesota Twins,34,Tampa Bay Rays,home,1.5292307692307692,2.57,10000,home
baseball,154326,2024-06-19T00:05:00+00:00,1,MLB,2024,6,Chicago Cubs,31,San Francisco Giants,home,1.90375,1.91375,10000,home
baseball,154327,2024-06-19T00:05:00+00:00,1,MLB,2024,35,Texas Rangers,24,New York Mets,away,1.919090909090909,1.9163636363636365,10000,home
baseball,154328,2024-06-19T00:10:00+00:00,1,MLB,2024,7,Chicago White Sox,15,Houston Astros,home,2.483846153846154,1.5592307692307692,10000,home
baseball,154329,2024-06-19T00:40:00+00:00,1,MLB,2024,10,Colorado Rockies,18,Los Angeles Dodgers,away,2.5946153846153845,1.523076923076923,10000,home
baseball,154330,2024-06-19T01:38:00+00:00,1,MLB,2024,17,Los Angeles Angels,20,Milwaukee Brewers,away,2.316923076923077,1.6353846153846154,10000,home
baseball,154331,2024-06-19T01:40:00+00:00,1,MLB,2024,26,Oakland Athletics,16,Kansas City Royals,home,2.1361538461538463,1.744615384615385,10000,home
baseball,154332,2024-06-19T16:20:00+00:00,1,MLB,2024,3,Atlanta Braves,12,Detroit Tigers,home,1.7315384615384617,2.15,10000,home
baseball,154333,2024-06-19T16:35:00+00:00,1,MLB,2024,28,Pittsburgh Pirates,8,Cincinnati Reds,home,1.74,2.1446153846153844,10000,home
baseball,154334,2024-06-19T16:40:00+00:00,1,MLB,2024,19,Miami Marlins,33,St.Louis Cardinals,home,2.313846153846154,1.6315384615384616,10000,home
basketball,384847,2024-06-19T02:00:00+00:00,13,NBA W,2024,171,Phoenix Mercury W,170,New York Liberty W,home,2.821875,1.441875,10000,home
basketball,384848,2024-06-19T23:00:00+00:00,13,NBA W,2024,166,Indiana Fever W,175,Washington Mystics W,home,1.44125,2.819375,10000,home
football,1145518,2024-06-19T19:00:00+00:00,4,Euros Championship,2024,1108,Scotland,15,Switzerland,draw,4.549411764705882,1.8705882352941177,3.4523529411764704,away
football,1145519,2024-06-19T16:00:00+00:00,4,Euros Championship,2024,25,Germany,769,Hungary,home,1.271764705882353,10.622941176470588,6.090588235294118,home
football,1145520,2024-06-19T13:00:00+00:00,4,Euros Championship,2024,3,Croatia,778,Albania,draw,1.4470588235294115,7.8488235294117645,4.437647058823529,home
baseball,154342,2024-06-20T00:05:00+00:00,1,MLB,2024,35,Texas Rangers,24,New York Mets,home,1.91,1.9163636363636365,10000,home
baseball,154343,2024-06-20T00:10:00+00:00,1,MLB,2024,7,Chicago White Sox,15,Houston Astros,away,1.9707692307692304,1.863846153846154,10000,home
baseball,154344,2024-06-20T00:40:00+00:00,1,MLB,2024,10,Colorado Rockies,18,Los Angeles Dodgers,home,2.684615384615385,1.495384615384615,10000,home
baseball,154345,2024-06-20T01:38:00+00:00,1,MLB,2024,17,Los Angeles Angels,20,Milwaukee Brewers,away,2.5923076923076924,1.5215384615384615,10000,home
baseball,154346,2024-06-20T01:40:00+00:00,1,MLB,2024,26,Oakland Athletics,16,Kansas City Royals,home,2.586923076923077,1.523076923076923,10000,home
baseball,154347,2024-06-20T17:05:00+00:00,1,MLB,2024,37,Washington Nationals,2,Arizona Diamondbacks,away,1.69,2.2153846153846155,10000,home
baseball,154348,2024-06-20T17:10:00+00:00,1,MLB,2024,22,Minnesota Twins,34,Tampa Bay Rays,away,1.7138461538461538,2.1807692307692306,10000,home
baseball,154352,2024-06-20T17:10:00+00:00,1,MLB,2024,9,Cleveland Guardians,32,Seattle Mariners,home,1.7784615384615383,2.0753846153846154,10000,home
baseball,154349,2024-06-20T18:10:00+00:00,1,MLB,2024,7,Chicago White Sox,15,Houston Astros,away,2.4784615384615383,1.5615384615384615,10000,home
basketball,384849,2024-06-20T00:00:00+00:00,13,NBA W,2024,169,Minnesota Lynx W,162,Atlanta Dream W,home,1.2392307692307691,4.063076923076923,10000,home
basketball,384850,2024-06-20T02:00:00+00:00,13,NBA W,2024,167,Las Vegas Aces W,172,Seattle Storm W,home,1.3462500000000002,3.26625,10000,home
basketball,384851,2024-06-20T16:00:00+00:00,13,NBA W,2024,163,Chicago Sky W,165,Dallas Wings W,home,1.3633333333333333,3.1746666666666665,10000,home
basketball,384852,2024-06-20T23:00:00+00:00,13,NBA W,2024,170,New York Liberty W,168,Los Angeles Sparks W,home,1.071875,8.563125,10000,home
football,1145521,2024-06-20T19:00:00+00:00,4,Euros Championship,2024,9,Spain,768,Italy,home,2.271764705882353,3.5923529411764705,3.077058823529412,home
football,1145522,2024-06-20T16:00:00+00:00,4,Euros Championship,2024,21,Denmark,10,England,draw,5.659411764705882,1.7005882352941175,3.608235294117647,away
football,1145523,2024-06-20T13:00:00+00:00,4,Euros Championship,2024,1091,Slovenia,14,Serbia,draw,5.061764705882353,1.73,3.7476470588235298,away
afl,2865,2024-06-21T09:40:00+00:00,1,AFL Premiership,2024,3,Carlton Blues,7,Geelong Cats,home,1.615,2.275,10000,home
